iter	Passed	Remaining
343	451	860
344	452	859
345	454	859
346	456	858
347	457	857
348	459	856
349	461	856
350	462	855
351	464	854
352	465	853
353	467	853
354	469	852
355	470	850
356	471	849
357	473	848
358	474	847
359	476	846
360	477	845
361	478	843
362	480	843
363	482	842
364	483	841
365	484	839
366	486	838
367	487	837
368	488	836
369	490	834
370	491	833
371	492	832
372	494	830
373	495	829
374	496	828
375	498	826
376	499	825
377	500	823
378	502	822
379	503	821
380	504	820
381	506	818
382	507	817
383	508	815
384	509	814
385	511	813
386	512	811
387	513	810
388	515	808
389	516	807
390	517	806
391	518	804
392	520	803
393	521	801
394	522	800
395	523	798
396	525	797
397	526	796
398	527	795
399	529	793
400	530	792
401	532	792
402	533	790
403	535	789
404	536	788
405	537	787
406	539	785
407	540	784
408	541	782
409	542	781
410	544	779
411	545	778
412	546	777
413	547	775
414	549	774
415	550	772
416	551	771
417	553	770
418	554	768
419	555	767
420	557	766
421	558	764
422	559	763
423	560	762
424	562	760
425	563	759
426	564	757
427	566	756
428	567	755
429	569	754
430	570	752
431	571	751
432	572	750
433	574	748
434	575	747
435	576	746
436	577	744
437	579	743
438	580	741
439	581	740
440	583	739
441	584	737
442	585	736
443	586	734
444	588	733
445	589	732
446	591	731
447	592	729
448	593	728
449	594	727
450	596	725
451	597	724
452	598	722
453	599	721
454	601	720
455	602	718
456	603	717
457	604	715
458	606	714
459	607	713
460	608	711
461	609	710
462	611	708
463	612	707
464	613	706
465	615	704
466	616	703
467	617	702
468	618	700
469	620	699
470	621	698
471	623	696
472	624	695
473	625	694
474	626	692
475	628	691
476	629	690
477	630	688
478	632	687
479	633	686
480	634	685
481	636	683
482	637	682
483	638	680
484	639	679
485	641	678
486	642	676
487	643	675
488	645	674
489	646	672
490	647	671
491	648	670
492	650	668
493	651	667
494	652	666
495	654	664
496	655	663
497	656	661
498	657	660
499	659	659
500	660	657
501	661	656
502	663	655
503	664	653
504	665	652
505	666	651
506	668	649
507	669	648
508	670	647
509	672	645
510	673	644
511	674	642
512	676	641
513	677	640
514	678	639
515	679	637
516	681	636
517	682	635
518	684	634
519	685	632
520	686	631
521	688	630
522	689	628
523	690	627
524	692	626
525	693	624
526	694	623
527	696	622
528	697	620
529	698	619
530	699	618
531	701	616
532	702	615
533	703	614
534	705	612
535	706	611
536	707	610
537	708	608
538	710	607
539	711	606
540	712	604
541	714	603
542	715	602
543	717	601
544	718	599
545	719	598
546	720	596
547	722	595
548	723	594
549	724	593
550	726	591
551	727	590
552	728	589
553	730	587
554	731	586
555	732	584
556	733	583
557	735	582
558	736	580
559	737	579
560	738	578
561	740	577
562	741	575
563	742	574
564	744	572
565	745	571
566	746	570
567	748	568
568	749	567
569	750	566
570	751	564
571	753	563
572	754	562
573	755	561
574	757	559
575	758	558
576	759	557
577	761	555
578	762	554
579	763	552
580	764	551
581	766	550
582	767	549
583	768	547
584	770	546
585	771	545
586	772	543
587	774	542
588	775	541
589	776	539
590	778	538
591	779	537
592	781	536
593	782	534
594	783	533
595	784	532
596	786	530
597	787	529
598	788	528
599	790	526
600	791	525
601	792	523
602	793	522
603	795	521
604	796	520
605	797	518
606	799	517
607	800	516
608	801	514
609	803	513
610	804	512
611	805	510
612	807	509
613	808	508
614	809	507
615	811	505
616	812	504
617	813	503
618	815	501
619	816	500
620	817	499
621	819	497
622	820	496
623	821	495
624	823	493
625	824	492
626	825	491
627	826	489
628	828	488
629	829	487
630	830	485
631	832	484
632	833	483
633	834	481
634	836	480
635	837	479
636	838	477
637	839	476
638	841	475
639	842	473
640	843	472
641	845	471
642	846	469
643	847	468
644	848	467
645	850	465
646	851	464
647	852	463
648	854	461
649	855	460
650	856	459
651	857	457
652	859	456
653	860	455
654	861	453
655	862	452
656	864	451
657	865	449
658	866	448
659	867	447
660	869	445
661	870	444
662	871	443
663	873	441
664	874	440
665	875	439
666	876	437
667	878	436
668	879	435
669	880	433
670	882	432
671	883	431
672	884	429
673	886	428
674	887	427
675	889	426
676	890	424
677	891	423
678	893	422
679	894	420
680	895	419
681	897	418
682	898	416
683	899	415
684	901	414
685	902	413
686	903	411
687	904	410
688	906	409
689	907	407
690	908	406
691	909	404
692	911	403
693	912	402
694	913	401
695	915	399
696	916	398
697	917	397
698	918	395
699	920	394
700	921	393
701	922	391
702	923	390
703	925	389
704	926	387
705	927	386
706	929	385
707	930	383
708	931	382
709	933	381
710	934	379
711	935	378
712	936	377
713	938	375
714	939	374
715	940	373
716	941	371
717	943	370
718	944	369
719	945	367
720	946	366
721	948	365
722	949	363
723	950	362
724	952	361
725	953	359
726	954	358
727	955	357
728	957	355
729	958	354
730	959	353
731	961	351
732	962	350
733	963	349
734	964	347
735	966	346
736	967	345
737	968	343
738	970	342
739	971	341
740	972	340
741	974	338
742	975	337
743	976	336
744	977	334
745	979	333
746	981	332
747	982	330
748	983	329
749	984	328
750	986	327
751	987	325
752	988	324
753	990	323
754	991	321
755	993	320
756	994	319
757	996	318
758	997	316
759	998	315
760	1000	314
761	1001	312
762	1002	311
763	1003	310
764	1005	308
765	1006	307
766	1007	306
767	1008	304
768	1010	303
769	1011	302
770	1012	300
771	1013	299
772	1015	298
773	1016	296
774	1017	295
775	1019	294
776	1020	292
777	1021	291
778	1023	290
779	1024	288
780	1025	287
781	1026	286
782	1028	284
783	1029	283
784	1030	282
785	1033	281
786	1034	279
787	1035	278
788	1037	277
789	1039	276
790	1040	274
791	1041	273
792	1043	272
793	1044	271
794	1045	269
795	1047	268
796	1048	267
797	1050	265
798	1051	264
799	1052	263
800	1054	261
801	1056	260
802	1058	259
803	1059	258
804	1061	257
805	1062	255
806	1064	254
807	1065	253
808	1067	251
809	1068	250
810	1069	249
811	1071	248
812	1073	246
813	1074	245
814	1075	244
815	1077	242
816	1078	241
817	1080	240
818	1081	239
819	1083	237
820	1084	236
821	1085	235
822	1087	233
823	1088	232
824	1089	231
825	1091	229
826	1092	228
827	1093	227
828	1095	225
829	1096	224
830	1097	223
831	1099	221
832	1100	220
833	1101	219
834	1103	217
835	1104	216
836	1105	215
837	1107	214
838	1108	212
839	1110	211
840	1111	210
841	1112	208
842	1113	207
843	1115	206
844	1116	204
845	1118	203
846	1119	202
847	1120	200
848	1122	199
849	1123	198
850	1124	196
851	1126	195
852	1127	194
853	1128	192
854	1130	191
855	1131	190
856	1133	189
857	1134	187
858	1135	186
859	1137	185
860	1138	183
861	1139	182
862	1141	181
863	1142	179
864	1144	178
865	1145	177
866	1146	175
867	1148	174
868	1149	173
869	1151	171
870	1152	170
871	1154	169
872	1155	168
873	1157	166
874	1158	165
875	1160	164
876	1161	162
877	1162	161
878	1163	160
879	1165	158
880	1167	157
881	1168	156
882	1169	155
883	1172	153
884	1173	152
885	1175	151
886	1177	149
887	1178	148
888	1180	147
889	1181	146
890	1182	144
891	1184	143
892	1186	142
893	1187	140
894	1189	139
895	1190	138
896	1191	136
897	1193	135
898	1194	134
899	1195	132
900	1197	131
901	1198	130
902	1199	128
903	1200	127
904	1202	126
905	1203	124
906	1204	123
907	1206	122
908	1207	120
909	1208	119
910	1209	118
911	1211	116
912	1212	115
913	1213	114
914	1214	112
915	1216	111
916	1217	110
917	1218	108
918	1220	107
919	1221	106
920	1222	104
921	1224	103
922	1225	102
923	1226	100
924	1227	99
925	1229	98
926	1230	96
927	1231	95
928	1232	94
929	1234	92
930	1235	91
931	1236	90
932	1237	88
933	1239	87
934	1240	86
935	1241	84
936	1243	83
937	1244	82
938	1245	80
939	1246	79
940	1247	78
941	1249	76
942	1250	75
943	1251	74
944	1253	72
945	1254	71
946	1255	70
947	1256	68
948	1258	67
949	1259	66
950	1260	64
951	1262	63
952	1263	62
953	1264	60
954	1265	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1272	53
960	1273	51
961	1274	50
962	1275	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1282	42
968	1283	41
969	1284	39
970	1286	38
971	1287	37
972	1288	35
973	1289	34
974	1291	33
975	1292	31
976	1293	30
977	1295	29
978	1296	27
979	1297	26
980	1298	25
981	1300	23
982	1301	22
983	1302	21
984	1304	19
985	1305	18
986	1306	17
987	1308	15
988	1309	14
989	1311	13
990	1312	11
991	1314	10
992	1315	9
993	1317	7
994	1318	6
995	1319	5
996	1321	3
997	1322	2
998	1323	1
999	1325	0
