iter	Logloss
201	0.2518996959
202	0.2517794084
203	0.2516478847
204	0.2515700181
205	0.25144979
206	0.251300548
207	0.2512427208
208	0.2511858239
209	0.2510483086
210	0.2509367685
211	0.2508741054
212	0.2507679011
213	0.2506677468
214	0.2506306016
215	0.2505471882
216	0.2503888262
217	0.2503170506
218	0.25023578
219	0.2501672111
220	0.2501103268
221	0.2500091689
222	0.2499370731
223	0.2498578761
224	0.2497367299
225	0.2495838439
226	0.2494995035
227	0.2493955878
228	0.2493072784
229	0.2492331399
230	0.2491800592
231	0.2490617051
232	0.2489915566
233	0.2489030081
234	0.2487948635
235	0.2487189141
236	0.2486578242
237	0.2486178214
238	0.2485534979
239	0.2484549346
240	0.2483753659
241	0.2482925951
242	0.2481071112
243	0.248050535
244	0.2479953951
245	0.247871833
246	0.2478144122
247	0.2477061012
248	0.2476148621
249	0.247503612
250	0.2473973998
251	0.2473058661
252	0.2471576992
253	0.2471023843
254	0.2469901169
255	0.2469357221
256	0.2467945794
257	0.2467191629
258	0.246666832
259	0.2465596279
260	0.2464466623
261	0.2463777905
262	0.2463048641
263	0.2462130912
264	0.2461379979
265	0.2460084337
266	0.2459339684
267	0.2458274685
268	0.2457524081
269	0.2456423106
270	0.2455359829
271	0.2454766117
272	0.2454002153
273	0.2452794721
274	0.2451884345
275	0.2451246313
276	0.2450582393
277	0.2450035461
278	0.244906402
279	0.2448438196
280	0.2447412676
281	0.2446781714
282	0.2445853604
283	0.2444989203
284	0.2444356547
285	0.2443551646
286	0.2442840746
287	0.2442385486
288	0.2441504821
289	0.2440729584
290	0.2440228307
291	0.2439345536
292	0.2438047901
293	0.2437457909
294	0.2437174529
295	0.2436506444
296	0.243568621
297	0.2434772311
298	0.2434081585
299	0.243346586
300	0.2432721048
301	0.2432132686
302	0.2431699692
303	0.243069615
304	0.2430010433
305	0.2428954076
306	0.2427511982
307	0.2426685603
308	0.2426224173
309	0.2425295351
310	0.2423815766
311	0.2422613122
312	0.2421577282
313	0.2420752979
314	0.2419948998
315	0.2418656854
316	0.2417669832
317	0.2417203993
318	0.2416445252
319	0.2415628121
320	0.2414145786
321	0.2413107298
322	0.2412581273
323	0.2411805812
324	0.2410227787
325	0.2409552611
326	0.2408475869
327	0.2407673535
328	0.2407191622
329	0.2405971819
330	0.2405020052
331	0.2404216185
332	0.2403102743
333	0.2402050504
334	0.2401235579
335	0.2400134572
336	0.239923679
337	0.2398314899
338	0.2397728322
339	0.2397073461
340	0.2396457476
341	0.239572047
342	0.2394936529
343	0.2394334323
344	0.2393684565
345	0.2392494339
346	0.2391830494
347	0.2390283044
348	0.2389574228
349	0.2388696627
350	0.2387644549
351	0.2386842724
352	0.2385780711
353	0.2384908592
354	0.2384332923
355	0.2383623491
356	0.2382614069
357	0.2381922569
358	0.2381113965
359	0.2380339581
360	0.2379315736
361	0.2378653903
362	0.2377797625
363	0.237692935
364	0.2375901474
365	0.2374796258
366	0.2373740662
367	0.2373185832
368	0.2371722938
369	0.2370902471
370	0.2369429046
371	0.2368827384
372	0.2367750849
373	0.2366572172
374	0.236583624
375	0.236468034
376	0.2364199832
377	0.2363249448
378	0.2362764382
379	0.2362057202
380	0.2361009981
381	0.2360116524
382	0.235910284
383	0.2357630807
384	0.2357003054
385	0.2356251748
386	0.2355319058
387	0.2354461373
388	0.2353599722
389	0.2352736235
390	0.2351798206
391	0.2350440826
392	0.2349339969
393	0.2348314347
394	0.2347473146
395	0.2346603483
396	0.2345902697
397	0.2344893412
398	0.2343973414
399	0.2342967996
400	0.2342118393
401	0.2341155977
402	0.234051923
403	0.233943273
404	0.2338689278
405	0.2338030159
406	0.2336908825
407	0.2335967939
408	0.2335383318
409	0.2334698993
410	0.2333809704
411	0.2332985435
412	0.2332206817
413	0.2331675212
414	0.2330352596
415	0.2329694773
416	0.2328435953
417	0.2327778392
418	0.2326930635
419	0.2326486723
420	0.2325492532
421	0.2324472194
422	0.2323379976
423	0.2322544085
424	0.2321916947
425	0.2320456535
426	0.2319816649
427	0.231916319
428	0.231800853
429	0.2317050272
430	0.2315873322
431	0.2315059077
432	0.2313802634
433	0.2312718233
434	0.2311927963
435	0.231137106
436	0.2310319838
437	0.2309913432
438	0.2309221964
439	0.2308296469
440	0.2307711864
441	0.2306736325
442	0.2305880716
443	0.2304832401
444	0.2303780189
445	0.230294545
446	0.2302435817
447	0.2301621661
448	0.2300416517
449	0.2299466903
450	0.2298143849
451	0.229725889
452	0.2296159177
453	0.2294744594
454	0.2293853516
455	0.229303089
456	0.2291680856
457	0.2290832629
458	0.2289837158
459	0.2288785798
460	0.2287690552
461	0.2286835713
462	0.2286309222
463	0.2285519554
464	0.2284974673
465	0.2283862737
466	0.2282874388
467	0.2281938214
468	0.2281040673
469	0.2279831119
470	0.2279316852
471	0.2278718726
472	0.227778799
473	0.2276914653
474	0.2276510165
475	0.2275790853
476	0.2275289175
477	0.2274406438
478	0.2273532184
479	0.2272685699
480	0.2272236872
481	0.227152735
482	0.227036669
483	0.22695908
484	0.2268678909
485	0.2267853119
486	0.2266971899
487	0.2266304616
488	0.2265450701
489	0.2264844946
490	0.226414934
491	0.2263434607
492	0.2262599285
493	0.2261808552
494	0.2260896354
495	0.2259897774
496	0.2259229884
497	0.2258338925
498	0.2257544404
499	0.2256119409
500	0.2255442005
501	0.2254150529
502	0.2253145158
503	0.2251855163
504	0.2250774393
505	0.2250031973
506	0.2249305928
507	0.2248706415
508	0.2247354525
509	0.224634123
510	0.2245522152
511	0.2244384397
512	0.2243827831
513	0.224291543
514	0.2242153906
515	0.2241123729
516	0.2240196156
517	0.223940404
518	0.2238671525
519	0.2237695134
520	0.2237035481
521	0.2236407015
522	0.2235676299
523	0.2234673297
524	0.2233525664
525	0.223257079
526	0.2231060921
527	0.2230100242
528	0.2228948742
529	0.2228237328
530	0.2227476175
531	0.2227026594
532	0.2226225686
533	0.2225524582
534	0.2224639127
535	0.2223888048
536	0.2222846885
537	0.2221963078
538	0.222105768
539	0.2220214091
540	0.2219171332
541	0.2218231829
542	0.2217396265
543	0.2216381696
544	0.2215122463
545	0.2214017357
546	0.2213435291
547	0.2212869733
548	0.2212093268
549	0.2210886874
550	0.2209826939
551	0.220911762
552	0.2208161128
553	0.2207191346
554	0.2206182157
555	0.2205242559
556	0.2203884821
557	0.2203048045
558	0.220228553
559	0.2201284909
560	0.2200546421
561	0.2199582231
562	0.2198801277
563	0.2197744871
564	0.2196780781
565	0.2196151424
566	0.2195492693
567	0.2194643774
568	0.219397251
569	0.2193448589
570	0.2192424753
571	0.219143429
572	0.2190530911
573	0.2189981361
574	0.2189276553
575	0.2188602818
576	0.2187874556
577	0.2187282945
578	0.218637384
579	0.2185382617
580	0.2184364047
581	0.2183705991
582	0.2182757516
583	0.218184654
584	0.2181040116
585	0.2180216775
586	0.2179336083
587	0.2178521396
588	0.2177963031
589	0.217701976
590	0.2176292386
591	0.217553456
592	0.2174709322
593	0.2174079513
594	0.2173207438
595	0.2172464373
596	0.2171627219
597	0.2170776028
598	0.2170198236
599	0.2169445528
600	0.2168693236
601	0.2168080805
602	0.2167387768
603	0.2166504661
604	0.2165623921
605	0.2165067761
606	0.2164437287
607	0.2163790172
608	0.2163180593
609	0.2162556964
610	0.2161900976
611	0.2160737088
612	0.2159761448
613	0.2159187351
614	0.2158259302
615	0.2156806569
616	0.215601447
617	0.2155515183
618	0.2154571434
619	0.2154015247
620	0.2153560405
621	0.2152926656
622	0.2152262247
623	0.2151070648
624	0.215061189
625	0.2149730463
626	0.2149237548
627	0.2148272802
628	0.2147672988
629	0.214727091
630	0.214645501
631	0.2146017539
632	0.2144900578
633	0.214413347
634	0.2143223779
635	0.2142812113
636	0.2142187461
637	0.2141269997
638	0.2140342506
639	0.2139511299
640	0.2138684403
641	0.213821573
642	0.2137581122
643	0.2136361343
644	0.2135550783
645	0.2134826071
646	0.2133868337
647	0.2132944877
648	0.2132555879
649	0.2131827231
650	0.2130995345
651	0.2130466969
652	0.2129337667
653	0.2128375349
654	0.2127740057
655	0.2126644086
656	0.2125368703
657	0.2124842389
658	0.2124264519
659	0.2123146875
660	0.212263856
661	0.2121971372
662	0.2121418415
663	0.212093945
664	0.2120424151
665	0.2120025727
666	0.2119470252
667	0.2118287613
668	0.2117803716
669	0.2117253438
670	0.2116644845
671	0.2115868245
672	0.2114867599
673	0.2113652719
674	0.2113265641
675	0.2112763954
676	0.2112108745
677	0.2111578479
678	0.2110502977
679	0.2110207273
680	0.2109084226
681	0.2108401891
682	0.2107572708
683	0.2106532653
684	0.2105665534
685	0.2104867452
686	0.2104466231
687	0.2103808372
688	0.2102900463
689	0.2102258057
690	0.2101548218
691	0.2101051284
692	0.2100358496
693	0.2099843632
694	0.2099156937
695	0.2098655253
696	0.2097982771
697	0.2096858356
698	0.2096490994
699	0.2095568334
700	0.2094742058
701	0.2093939011
702	0.2093163859
703	0.2092390137
704	0.2091861831
705	0.2091342655
706	0.2090510398
707	0.2089774354
708	0.2088458788
709	0.2087696112
710	0.2086877828
711	0.2085928317
712	0.208536715
713	0.2084831637
714	0.208421946
715	0.208362928
716	0.2082784325
717	0.208212903
718	0.208108761
719	0.2079993829
720	0.2079025541
721	0.2078465027
722	0.2077783452
723	0.2077232415
724	0.2076787553
725	0.207617539
726	0.2075342543
727	0.2074818741
728	0.2074472984
729	0.2073722752
730	0.2072799146
731	0.2072007681
732	0.2071654278
733	0.2070958246
734	0.2070232393
735	0.2069217434
736	0.2068492131
737	0.2067961452
738	0.2067349162
739	0.2066966473
740	0.2065785467
741	0.2065039854
742	0.2064402705
743	0.2063974669
744	0.2063007013
745	0.2062514092
746	0.2061633242
747	0.2060875622
748	0.2060131753
749	0.2059579057
750	0.2059020238
751	0.2058411346
752	0.2057377951
753	0.2056707575
754	0.2055840658
755	0.2054903044
756	0.2054330569
757	0.2053759995
758	0.2052683277
759	0.2052319228
760	0.205132395
761	0.2050614291
762	0.204961163
763	0.2048946645
764	0.2048514428
765	0.20478916
766	0.204704149
767	0.2046462096
768	0.2045905238
769	0.2045218257
770	0.2044682337
771	0.2043920639
772	0.204348587
773	0.2042762641
774	0.2042266449
775	0.204159716
776	0.2040865042
777	0.2040354695
778	0.2039497587
779	0.2038904643
780	0.2038391136
781	0.203782294
782	0.20369916
783	0.2036299067
784	0.2035810244
785	0.2035457554
786	0.2034747687
787	0.203408528
788	0.2033221711
789	0.2032501275
790	0.2031994267
791	0.2031250991
792	0.2030537372
793	0.2029889788
794	0.2029357057
795	0.2028985174
796	0.2028059376
797	0.2027507646
798	0.2027024225
799	0.2026520902
800	0.2026185828
801	0.2025491158
802	0.2024892672
803	0.2024342184
804	0.2023910895
805	0.2023594479
806	0.2023142093
807	0.2022037559
808	0.2021387786
809	0.2020668985
810	0.201983123
811	0.2019383506
812	0.2018917941
813	0.2018369791
814	0.2017427697
815	0.2016948973
816	0.2016173829
817	0.2015580407
818	0.2014863146
819	0.2013936219
820	0.2013528852
821	0.201266879
822	0.2012117461
823	0.2011775496
824	0.2011316561
825	0.2010830116
826	0.2010203598
827	0.2009228369
828	0.2008628406
829	0.2008130206
830	0.2007430314
831	0.2006663476
832	0.20061873
833	0.2005615058
834	0.2004563272
835	0.2004116352
836	0.2003454081
837	0.2002942797
838	0.2002339524
839	0.2001670879
840	0.2001135142
841	0.2000494744
842	0.1999976877
843	0.1999182582
844	0.1998719131
845	0.1998052971
846	0.1997407049
847	0.1996855817
848	0.1996124684
849	0.1995623904
850	0.1994993393
851	0.1994354443
852	0.1993647775
853	0.1992605643
854	0.1991993742
855	0.1991274078
856	0.1990712752
857	0.1990105998
858	0.1989172631
859	0.1988633677
860	0.1988155823
861	0.1987731815
862	0.1986659214
863	0.1986345877
864	0.1985773656
865	0.1985068571
866	0.198443846
867	0.1983402506
868	0.1982336664
869	0.1981769808
870	0.1981344589
871	0.1980798997
872	0.1980089431
873	0.1979005293
874	0.1978545997
875	0.197790797
876	0.1977462856
877	0.1976957211
878	0.1976183896
879	0.1975954295
880	0.1975288401
881	0.1974889998
882	0.1973742404
883	0.1973315069
884	0.1972737778
885	0.1972124529
886	0.1971740249
887	0.1971075793
888	0.1970219187
889	0.1969868016
890	0.1969198508
891	0.1968792559
892	0.196815148
893	0.1967171699
894	0.1966145577
895	0.1965652618
896	0.1965217755
897	0.1964742053
898	0.1963902422
899	0.1963583536
900	0.196315088
901	0.196241183
902	0.1961799819
903	0.1960996282
904	0.1960491682
905	0.1960020208
906	0.1959511084
907	0.1958875094
908	0.1958147592
909	0.1957604599
910	0.1957090175
911	0.19561842
912	0.1955712328
913	0.1955221528
914	0.195461339
915	0.1953799553
916	0.1953092961
917	0.1952403007
918	0.1951506774
919	0.1950734586
920	0.1950315964
921	0.1949393052
922	0.194885937
923	0.1947981508
924	0.1946823229
925	0.1946333132
926	0.1945839184
927	0.1945397628
928	0.1944791248
929	0.194421121
930	0.194355816
931	0.194316317
932	0.1942384752
933	0.1941910905
934	0.1940977229
935	0.1940279895
936	0.1939604794
937	0.1938949197
938	0.1938422901
939	0.1937789578
940	0.1937077045
941	0.193674527
942	0.193592441
943	0.1935637628
944	0.1935317695
945	0.1934999735
946	0.1934269658
947	0.1933658485
948	0.193310926
949	0.1932178385
950	0.1931352465
951	0.1931030649
952	0.1930542728
953	0.1930034213
954	0.1929463203
955	0.1929131267
956	0.192861709
957	0.192825007
958	0.1927602176
959	0.1927015243
960	0.1926194271
961	0.192540622
962	0.1924514609
963	0.1923857662
964	0.1923360792
965	0.1922692714
966	0.1921763938
967	0.1920979843
968	0.1920406485
969	0.1920205746
970	0.1919690006
971	0.1919339048
972	0.1918806567
973	0.1918338913
974	0.1917618458
975	0.1917309871
976	0.1916789791
977	0.1916305881
978	0.1915734553
979	0.1915329305
980	0.1914420411
981	0.1913619787
982	0.1912926035
983	0.191240144
984	0.1911925589
985	0.1910996153
986	0.1910498383
987	0.1910084308
988	0.1909591216
989	0.1909183218
990	0.1908673578
991	0.1908363942
992	0.1907888149
993	0.190729183
994	0.1906974048
995	0.1906312322
996	0.1905802874
997	0.190482182
998	0.1904366414
999	0.1903735382
